bairro_group,bairro,latitude,longitude,room_type,price,minimo_noites,numero_de_reviews,calculado_host_listings_count,distance_to_empire_state
Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1,7.0995824264982845
Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,1,3.017821414765965
Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,1,1.6910396262533265
Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,2,9.974740893236016
Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,1,7.461124810946647
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,1,2.249478447059576
Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1,3.7146911962076508
Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,1,6.940685732404056
Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1,6.241391848565576
Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1,1.5865555848782074
Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,4,4.594086490869767
Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,1,9.44020789524696
Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,1,3.3396070045640607
Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,1,10.676078453351645
Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,1,4.124041643405692
Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,1,4.103085771235971
Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1,2.792037595810499
Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,1,2.1883338915736625
Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,4,4.552585470343795
Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,1,6.67650261654521
Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,1,7.436544821619321
Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,6,7.104117198844301
Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,1,7.6670242679227405
Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1,4.89384709488302
Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,2,7.2893843321987815
Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,1,5.837289224112864
Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,1,9.432851049684295
Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,2,1.714840558040638
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,2,8.86486366953202
Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,3,8.768009997753712
Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,1,10.738443270359134
Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,2,2.4437234336838176
Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,1,8.80176569173167
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2,8.890937890907463
Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,1,4.898561784452995
Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1,7.6139660921207515
Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,1,7.448703920430992
Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6,7.0404405592696975
Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,1,2.204389254445577
Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,4,2.583365128873881
Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,1,0.765644774367954
Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,1,3.410022468336009
Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,4,2.59324249362899
Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,1,9.328299405518715
Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,2,9.30100668170019
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,1,3.446754329451682
Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,1,2.889404342783513
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,1,10.509275409532265
Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,1,3.696219435501781
Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,1,4.559255230344246
Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,1,13.112552992279767
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2,7.699970491625678
Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,3,8.15282270699746
Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,1,2.7696081535893198
Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1,3.333398526746125
Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,1,3.903558776855089
Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,3,2.134351229567104
Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,1,2.1410844709036385
Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1,13.724356254968418
Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,3,7.077353951566622
Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,1,3.143102920490851
Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,1,4.816793259558642
Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,1,6.999923379686264
Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,1,13.012798918796353
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2,8.448267495352104
Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,1,5.314713860338599
Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,1,2.776956435240348
Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,4,4.592692348086338
Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,5,6.475283255961671
Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,1,2.0006919609865825
Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,1,8.454703742169254
Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1,4.241450534087936
Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,1,8.436026810413813
Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,1,6.275867681945502
Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1,2.374995483890045
Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,1,4.279239626147585
Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2,4.231504417621147
Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,1,7.003471018371145
Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2,5.117802387343612
Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,1,5.27780178579881
Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,1,5.157919271204592
Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,1,2.3010806363443455
Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,1,8.896865306367959
Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,1,9.27911201138082
Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,3,7.916234589917823
Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1,14.019443944719363
Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,1,7.396841396093625
Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1,4.486842004101359
Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,4,2.62319143522209
Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1,5.218110163632264
Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2,6.507977752833132
Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,1,1.9693379760311969
Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,3,8.091845447873188
Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,1,2.2488571916816325
Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1,9.321984897307498
Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,2,6.69430119105857
Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,5,8.904135881185208
Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,2,6.73185457234695
Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,1,4.236255490715897
Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,1,7.644027272198205
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,4,8.273716256344622
Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,3,7.833313302478796
Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1,3.5106016973675604
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,1,8.239010253800751
Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,1,1.511464530348862
Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,1,1.8795536728192013
Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1,3.3025353312623373
Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,3,8.808175527384016
Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,2,3.966081835134368
Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,2,20.366948097841966
Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1,1.6733321002242942
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,1,7.275928233628745
Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,5,9.673515375181958
Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,5,8.983907615020621
Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,5,9.747212453698348
Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,1,1.9020950205341272
Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,1,6.500810741708662
Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,5,7.661754296401005
Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,3,10.272599069175586
Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1,6.745432241096617
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,1,8.429008012472798
Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1,2.35185155341492
Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1,2.739530438198167
Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,2,5.16670328528878
Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,1,6.939620791515952
Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,1,2.327403844639042
Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,1,3.1579731651825877
Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,5,7.882462140282803
Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,1,7.278415243354663
Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1,2.2512172291062655
Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,1,2.092634258997965
Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,1,2.0774724847080526
Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1,0.9037816674059364
Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,1,10.008944701340365
Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,1,3.350895961467257
Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,1,3.104205841633684
Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,5,8.790254789612034
Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,1,2.711335040667582
Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,2,3.524504869281263
Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,1,1.7651362731081093
Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,1,3.4695387558341935
Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,1,1.9883244179717585
Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,2,5.869484511264928
Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,5,7.867450618315947
Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,1,8.17809326560099
Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1,2.471876338305958
Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,1,6.136654415030671
Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,3,7.83099302031696
Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,1,3.310242335607386
Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,1,1.3486185470226661
Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,2,6.559014108493101
Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,2,3.8051534193793115
Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,1,1.7290784203931235
Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,1,2.444524993012439
Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,1,8.866620780488995
Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,6,15.141448904007675
Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,6,15.060166864006819
Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,6,15.162333191766423
Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,2,2.6524704730355544
Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,2,1.0820519785883707
Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,3,3.3266354832252962
Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,2,5.361682779299669
Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,2,11.987648700092139
Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,2,8.960437831504262
Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,7,13.144426378735837
Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,13,19.38804077874152
Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,2,2.9679147357822533
Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,4,7.546288461854703
Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,2,14.061427085077419
Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,4,5.30617315851907
Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,1,2.263846234519927
Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,4,7.95840172753211
Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,1,8.508657613756187
Manhattan,Little Italy,40.71702,-73.99811,Entire home/apt,90,14,1,1,3.64955890732238
Manhattan,East Village,40.72321,-73.98157,Private room,68,2,203,2,2.825210980560392
Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210,1,3.4898752351843414
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,1,7.818780688516173
Brooklyn,Williamsburg,40.71368,-73.9626,Private room,60,3,0,1,4.325160416604145
Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,1,2.1250539484950632
Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,1,5.077469398577675
Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1,5.525819872152638
Manhattan,Harlem,40.82888,-73.94307,Private room,75,3,20,1,9.648786221205473
Brooklyn,Park Slope,40.67319,-73.97323,Entire home/apt,175,2,11,1,8.437578403816769
Brooklyn,Carroll Gardens,40.67846,-73.99443,Entire home/apt,190,3,51,1,7.8216575140879065
Brooklyn,Crown Heights,40.6715,-73.94808,Private room,49,21,15,5,9.12759105089489
Manhattan,East Village,40.72681,-73.98534,Entire home/apt,212,3,67,1,2.404027655981394
Manhattan,Lower East Side,40.71904,-73.99392,Private room,95,1,109,3,3.3433126786804825
Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,1,4.825698842616033
Manhattan,Harlem,40.81322,-73.95306,Entire home/apt,135,6,187,1,7.718805645024158
Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2,7.9180620853529105
Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,190,3,69,2,7.5376310180011465
Manhattan,East Harlem,40.79603,-73.94903,Entire home/apt,124,28,22,1,6.132752596501263
Brooklyn,Williamsburg,40.71492,-73.96282,Entire home/apt,135,30,56,1,4.193707848621119
Manhattan,Morningside Heights,40.80393,-73.95838,Private room,122,3,93,1,6.593073328850039
Manhattan,Upper West Side,40.80082,-73.9652,Private room,109,1,104,2,6.082850104849732
Manhattan,Harlem,40.82976,-73.94867,Private room,85,30,64,1,9.576151816480081
Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,Entire home/apt,145,3,127,2,9.155520995118039
Manhattan,Upper West Side,40.78971,-73.9729,Entire home/apt,195,11,30,1,4.720971112319932
Brooklyn,Carroll Gardens,40.67817,-73.99495,Entire home/apt,250,2,106,3,7.8580762411527
Brooklyn,Greenpoint,40.73119,-73.95578,Private room,125,3,6,1,3.162116662781289
Manhattan,Little Italy,40.71943,-73.99627,Entire home/apt,575,2,191,1,3.3486188384863045
Manhattan,Upper West Side,40.78,-73.98249,Entire home/apt,150,30,48,1,3.5268031947456446
Brooklyn,Bushwick,40.70514,-73.91922,Private room,70,5,47,1,7.386118933453298
Manhattan,Inwood,40.86713,-73.92811,Private room,90,2,120,1,14.075867262803364
Manhattan,East Village,40.73198,-73.98881,Private room,65,3,52,1,1.8483291664720802
Manhattan,East Village,40.72542,-73.97986,Entire home/apt,500,2,48,4,2.6040892521376
Manhattan,Washington Heights,40.83494,-73.93869,Entire home/apt,250,3,32,2,10.412569302541971
Manhattan,Chinatown,40.71659,-73.98945,Entire home/apt,125,25,43,1,3.556430810449883
Manhattan,West Village,40.72966,-74.00243,Entire home/apt,200,30,39,1,2.5236375855539888
Brooklyn,Greenpoint,40.72898,-73.95552,Entire home/apt,229,1,50,1,3.3336769735208125
Bronx,Kingsbridge,40.87207,-73.90193,Entire home/apt,90,30,4,2,15.466096434732464
Manhattan,Upper West Side,40.77728,-73.97818,Entire home/apt,110,13,38,1,3.274595270198217
Brooklyn,Greenpoint,40.72646,-73.95341,Private room,59,3,29,1,3.652437682736927
Brooklyn,Williamsburg,40.71015,-73.96101,Entire home/apt,195,4,59,1,4.736879072616476
Brooklyn,Williamsburg,40.71903,-73.9597,Entire home/apt,169,1,68,2,3.9327155720795117
Manhattan,East Harlem,40.80892,-73.93985,Entire home/apt,113,14,26,3,7.7621717640819945
Manhattan,Harlem,40.80276,-73.9567,Entire home/apt,250,14,31,1,6.522705573850807
Queens,Astoria,40.77635,-73.93426,Entire home/apt,115,2,198,1,5.33062521009939
Brooklyn,Greenpoint,40.72488,-73.95018,Private room,55,2,1,1,3.9729656625632757
Brooklyn,Greenpoint,40.73749,-73.95292,Private room,179,3,36,28,3.0122851063117926
Manhattan,Hell's Kitchen,40.76248,-73.9913,Private room,150,3,36,1,1.638774729778492
Brooklyn,Boerum Hill,40.68674,-73.98876,Entire home/apt,135,4,6,1,6.86957177319851
Brooklyn,Clinton Hill,40.6848,-73.96219,Entire home/apt,350,6,14,1,7.350736830038046
Brooklyn,Williamsburg,40.70516,-73.95455,Private room,120,14,76,6,5.4805026662285945
Manhattan,East Village,40.72329,-73.98486,Private room,71,2,182,1,2.796462606056556
Brooklyn,Greenpoint,40.73776,-73.95327,Private room,349,3,8,28,2.9731868137635415
Brooklyn,Greenpoint,40.73738,-73.95482,Private room,349,3,7,28,2.8715987429543945
Brooklyn,Park Slope,40.67542,-73.98142,Entire home/apt,165,30,34,2,8.132170983616389
Brooklyn,Greenpoint,40.73842,-73.95312,Private room,249,3,2,28,2.956381838427319
Brooklyn,Brooklyn Heights,40.6926,-73.99832,Private room,100,3,66,2,6.304070222428371
Brooklyn,Brooklyn Heights,40.69441,-73.99771,Entire home/apt,200,3,80,2,6.096786511311113
Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,Entire home/apt,185,3,46,1,8.066369248885891
Brooklyn,Fort Greene,40.68819,-73.97258,Entire home/apt,130,35,5,1,6.79243411864501
Brooklyn,Williamsburg,40.7205,-73.96015,Entire home/apt,199,30,8,1,3.776020748666806
Manhattan,East Village,40.72451,-73.98094,Entire home/apt,225,2,33,1,2.6888628530438954
Brooklyn,Greenpoint,40.73813,-73.95394,Private room,179,3,13,28,2.9049794538536444
Brooklyn,Crown Heights,40.67591,-73.94715,Entire home/apt,150,5,5,1,8.697762756551334
Brooklyn,Crown Heights,40.66966,-73.94735,Entire home/apt,79,15,11,5,9.341088919764422
Manhattan,Lower East Side,40.71965,-73.98766,Entire home/apt,150,2,151,2,3.2056606937361827
